Date,Open,High,Low,Adj Close,Volume (BTC),Volume (Currency),Weighted Price,Weekday
11/28/2012,12.01,12.74,11.93,12.22,4332.172428,52673.24554,12.15862167,
11/29/2012,12.22,12.41,12.1,12.37,3553.575777,43632.21767,12.27839799,
11/30/2012,12.35,12.45,12.2,12.43,3472.326639,42855.95317,12.34214336,
12/3/2012,12.46,12.6,12.32,12.6,5124.745796,63764.15021,12.44240256,
12/4/2012,12.5,13.01,12.42,12.59,5524.270221,70234.7031,12.71384279,
12/5/2012,12.86,13.43,12.63,13.2,3202.160667,42022.98789,13.12332274,
12/6/2012,13.2,13.59,13.02,13.45,4479.878721,59510.93413,13.28405027,
12/7/2012,13.34,13.48,13.11,13.37,3494.465978,46592.93349,13.33334872,
12/10/2012,13.3,13.4,13.03,13.3,6444.033152,85391.12941,13.25119338,
12/11/2012,13.13,13.41,13.13,13.35,2641.351974,35171.19764,13.31560428,
12/12/2012,13.39,13.49,13.23,13.49,3925.656653,52584.3983,13.39505793,
12/13/2012,13.49,13.52,13.05,13.52,5259.543639,70146.10765,13.33691903,
12/14/2012,13.51,13.94,13.38,13.51,5949.656983,81315.80252,13.66730935,
12/17/2012,13.28,13.29,12.85,13.2,5313.365783,69262.79544,13.03557825,
12/18/2012,13.3,13.62,12.75,13.13,5416.932823,70572.78049,13.02818085,
12/19/2012,13.13,13.4,13,13.4,4893.71657,64662.32933,13.21333764,
12/20/2012,13.27,13.44,13.14,13.35,1866.131661,24823.75887,13.30225482,
12/21/2012,13.38,13.41,13.2,13.2,2559.576356,33924.91238,13.25411227,
12/24/2012,13.11,13.24,13.01,13.23,1511.901772,19799.93429,13.09604542,
12/25/2012,13.23,13.25,13.09,13.24,1136.04127,14941.44626,13.15220376,
12/26/2012,13.09,13.19,13.01,13.18,2247.798362,29347.15325,13.05595455,
12/27/2012,13.18,13.25,12.91,13.2,3347.611481,43802.85665,13.08480895,
12/28/2012,13.19,13.29,13.01,13.18,4176.881802,54906.8972,13.14542757,
12/31/2012,13.2,13.29,13.05,13.24,1641.785612,21619.47076,13.16826667,
1/1/2013,13.24,13.24,12.77,13.22,2116.929409,27536.43132,13.00772298,
1/2/2013,13.12,13.19,12.98,13.09,1840.848724,24114.0494,13.09941936,
1/3/2013,13.09,13.26,12.96,13.19,3320.972054,43609.26702,13.13147666,
1/4/2013,13.12,13.24,12.84,13.19,2700.253507,35364.47331,13.0967234,
1/7/2013,13.1,13.2,13.04,13.2,3935.248457,51741.80824,13.14829516,
1/8/2013,13.2,13.5,13.05,13.5,6086.275155,81166.30812,13.33595772,
1/9/2013,13.51,13.65,13.18,13.58,4640.267393,62258.09918,13.4169206,
1/10/2013,13.67,14.19,13.5,14,3719.447379,51323.11823,13.79858699,
1/11/2013,14,14.1,13.85,14,2405.626038,33619.01925,13.97516435,
1/14/2013,13.65,14.1,13.5,14.1,4314.604598,60172.09641,13.94614386,
1/15/2013,14.1,14.32,13.88,14.2,4961.379052,70161.08815,14.14144886,
1/16/2013,14.15,14.65,14.01,14.53,5436.228758,78305.35625,14.40435267,
1/17/2013,14.53,15.47,14.45,15.36,5227.756422,78132.71671,14.94574544,
1/18/2013,15.34,15.7,15.17,15.57,6749.525678,104430.4053,15.4722584,
1/21/2013,15.62,16.98,15.45,16.52,5634.628204,91833.14685,16.29799581,
1/22/2013,16.53,17.6,16.45,17.35,3827.757,65908.21232,17.21849436,
1/23/2013,17.5,17.6,16.86,17.5,4853.15538,83871.77464,17.28190591,
1/24/2013,17.5,19.2,16,17.29,14880.17041,269214.3831,18.09215726,
1/25/2013,17.15,17.72,16.12,17.49,5131.562689,87773.79862,17.10469187,
1/28/2013,17.6,18.74,17.48,18.67,5344.518937,96361.46303,18.02996007,
1/29/2013,18.6,19.85,18.53,19.35,4541.640004,87069.57229,19.17139452,
1/30/2013,19.46,19.47,18.85,19.45,2557.507736,48878.9474,19.11194508,
1/31/2013,19.45,21,19.27,20.46,5738.861152,115283.7188,20.0882572,
2/1/2013,20.3,20.9,20.04,20.35,3503.83131,72116.84851,20.58228326,
2/4/2013,20.55,20.7,19.9,20.3,4506.951134,92079.81501,20.430622,
2/5/2013,20.3,20.69,20.08,20.5,3193.307704,65127.97542,20.39514555,
2/6/2013,20.56,20.99,20.33,20.91,3424.260011,71187.8583,20.78926778,
2/7/2013,20.91,21.96,20.9,21.71,6307.576563,134111.5171,21.26197214,
2/8/2013,21.95,22.63,21.81,22.4,2801.665954,62459.84798,22.2938241,
2/11/2013,23.74,23.94,23.16,23.94,2978.347298,70368.403,23.62666135,
2/12/2013,23.94,25.85,23.87,25.47,8534.233954,212940.2822,24.95130592,
2/13/2013,25.33,25.97,25,25,3983.639153,101818.2612,25.55910745,
2/14/2013,25,27.5,22.42,27.4,12042.50498,304559.4442,25.29037311,
2/15/2013,27.4,27.56,26.72,27,3145.143173,85416.68474,27.15828184,
2/18/2013,26.81,27,26.29,26.92,3103.541936,82786.80351,26.67494277,
2/19/2013,26.92,29.5,26.7,29.39,9541.051772,269205.9189,28.21553906,
2/20/2013,29.39,30.07,29.21,30,3832.393223,113554.9514,29.63029751,
2/21/2013,30,30.14,29.6,30,3576.112024,106946.5759,29.90582376,
2/22/2013,29.96,31.49,29.9,30.4,6182.202274,188602.7129,30.50736688,
2/25/2013,29.79,30.49,29.78,30.43,1564.848678,47315.23987,30.2363037,
2/26/2013,30.43,32,29.85,31.1,5071.901744,156914.9114,30.93808188,
2/27/2013,31.01,31.77,30.45,31.31,3168.544415,98872.37182,31.20435091,
2/28/2013,31.31,34.42,31.31,33.53,6726.874325,222654.2886,33.09921932,
3/1/2013,33.53,34.75,33.25,34.55,3666.425829,125024.6177,34.09986279,
3/4/2013,34.33,37,34.24,36.52,6165.244721,218170.5081,35.38716109,
3/5/2013,36.56,41,36.53,40.75,6476.19221,255026.7746,39.37912377,
3/6/2013,40.66,49.17,40.66,42.32,10298.43893,477703.0296,46.38596517,
3/7/2013,42.31,46,33,41.68,16259.06198,656197.2746,40.35886421,
3/8/2013,41.68,44.37,40.56,43.76,4388.759446,187903.312,42.81467561,
3/11/2013,45.97,48.38,45.6,48.25,3400.785946,160700.3885,47.25389691,
3/12/2013,48.15,48.25,36,44.84,11195.69562,484836.0893,43.30557971,
3/13/2013,44.29,47.09,44.2,46.99,3290.234405,152004.6636,46.19873386,
3/14/2013,46.99,47.97,46.8,46.95,3527.687091,167173.932,47.38910445,
3/15/2013,46.95,47.29,46.9,46.9,1063.764438,50102.52266,47.09926453,
3/18/2013,47.24,51.1,46.98,50.35,5924.103027,285215.3912,48.14490732,
3/19/2013,49.87,60,48,59.41,9303.9379,514314.6189,55.27924029,
3/20/2013,59.46,67.99,58.86,64.2,8546.006802,529201.1367,61.92379072,
3/21/2013,65.13,76.91,64.61,72.23,9864.56711,697134.3408,70.6705457,
3/22/2013,70.87,74.47,65,69.9,5462.696552,385986.7666,70.65865052,
3/25/2013,70.22,80,69.25,75.11,8198.252314,600261.144,73.2181837,
3/26/2013,74.3,100,74.3,79.81,6748.681119,536804.5562,79.54214264,
3/27/2013,79.81,89.99,78.75,89.3,6073.079583,528292.7343,86.98926584,
3/28/2013,89.4,97,80,88.52,9823.473358,885159.0995,90.10653027,
3/29/2013,88.96,94,84,90,6658.416937,598347.5042,89.86332785,
4/1/2013,95.5,106.5,93.7,104.7,6540.705268,651512.7151,99.60893946,
4/2/2013,103.73,116,100.1,116,6441.039003,703416.0469,109.208475,
4/3/2013,116,158.41,110,133.78,15003.9485,1942177.682,129.444438,
4/4/2013,133.87,150,119,135,7265.273001,962558.3508,132.487568,
4/5/2013,134.67,200,127.09,141.8,7564.277722,1059570.015,140.0755041,
4/8/2013,164.97,198,162,185.6,13411.06324,2441789.843,182.0728006,
4/9/2013,185.6,235.29,164.34,229,11211.78878,2408925.327,214.856467,
4/10/2013,228.94,259.34,70,162,20889.47079,3647719.876,174.6200233,
4/11/2013,162,179,50,83.4,37205.88492,3955205.773,106.3059186,
4/12/2013,81.02,112,45,109.9,29095.90819,2208419.004,75.90136006,
4/15/2013,91.79,99.8,60,74,19578.12872,1685980.111,86.11548811,
4/16/2013,73.99,82,49.8,68.09,35706.58629,2335121.25,65.39749364,
4/17/2013,67.85,101.12,60,89.98,30854.42412,2607701.516,84.51629194,
4/18/2013,89.98,111.23,78.92,109.3,16527.45972,1599320.963,96.76750032,
4/19/2013,109.3,140.2,100,117.71,25498.95205,3014004.73,118.2011215,
4/22/2013,118.91,125.01,116,123.74,6675.549458,806995.9642,120.8883208,
4/23/2013,123.73,138.87,121.12,137.29,13391.87056,1754207.716,130.9904922,
4/24/2013,137.3,161,134.98,149,21232.85034,3132037.003,147.5090227,
4/25/2013,150,170.28,123.2,141.9,16566.09169,2371208.931,143.1362916,
4/26/2013,141.9,142.53,126.68,137.3,10688.92109,1434028.953,134.1603087,
4/29/2013,135.31,151.65,123.96,143.31,10485.46214,1481409.037,141.2821884,
4/30/2013,143.32,144.99,133.89,139.88,8465.297181,1177535.613,139.1015091,
5/1/2013,139.87,140.3,104.9,116.75,21104.90213,2571869.925,121.8612581,
5/2/2013,116.75,127.24,93.01,106.81,21725.1336,2337279.836,107.584141,
5/3/2013,107.02,108,81.5,98.08,26863.56445,2454817.072,91.38091399,
5/6/2013,116.9,123.97,105,112.71,17251.55561,2019204.734,117.0447917,
5/7/2013,112.67,112.95,98.77,110,14941.55264,1598932.961,107.012504,
5/8/2013,110.92,116.29,109.41,113.16,8261.640642,933648.9413,113.0101128,
5/9/2013,113.16,113.95,109,111.96,6725.708427,747542.35,111.1470053,
5/10/2013,111.96,119.98,109.2,117.9,10480.13512,1210254.422,115.4808033,
5/13/2013,115.05,117.48,113.55,115.99,3412.041234,396130.0561,116.0976755,
5/14/2013,115.98,117.9,103.5,107,12120.00784,1369310.43,112.9793353,
5/15/2013,107,113,101.72,108.95,10914.51829,1187889.935,108.8357638,
5/16/2013,108.96,113.35,108.35,113.35,7515.761663,834106.7642,110.9810025,
5/17/2013,113.36,118.16,112.82,116.73,9721.360895,1122824.599,115.5007629,
5/20/2013,117.27,118.94,114.03,116.55,4541.309886,533212.7296,117.4138614,
5/21/2013,117.81,118.56,116.9,117.5,3656.254723,430370.5197,117.7080243,
5/22/2013,117.25,119.48,117,119.11,7275.604712,861702.6459,118.4372544,
5/23/2013,118.45,123.9,118.36,123.84,10212.79546,1235081.775,120.9347411,
5/24/2013,123.84,129.94,122.52,128.7,13193.58203,1667171.426,126.3623042,
5/27/2013,130.27,130.6,120.33,126.25,7413.811806,944067.491,127.3390148,
5/28/2013,126.2,127.11,123,125.92,6072.757805,762645.77,125.5847499,
5/29/2013,125.99,130.4,125.53,130.35,9946.839237,1276086.572,128.2906601,
5/30/2013,130.01,131,124.9,126.81,9432.356132,1215580.347,128.8734575,
5/31/2013,126.78,129.87,125.06,127.91,5633.948496,720534.7778,127.891616,
6/3/2013,123.35,125.01,117,123.22,8850.29223,1064544.619,120.2835558,
6/4/2013,123.22,123.66,116.32,120.57,7975.858718,962931.1389,120.7307166,
6/5/2013,120.58,122.74,119.65,121.2,4733.026949,571825.812,120.8160905,
6/6/2013,120.98,121.33,118.43,118.78,4936.978171,592802.3839,120.0739326,
6/7/2013,118.78,119.16,107,110.18,18261.4761,2063005.122,112.9703377,
6/10/2013,100.17,107.9,93.1,104.22,13536.55841,1380204.733,101.9612734,
6/11/2013,104.21,108,102.97,107.36,5234.35334,556199.6728,106.2594817,
6/12/2013,107.35,111.18,105.01,106.56,7612.620553,823736.4889,108.2066922,
6/13/2013,106.1,108.43,95,102,8047.280501,832544.8658,103.4566728,
6/14/2013,101.86,102.95,95,99.01,10698.41201,1065910.003,99.63254378,
6/17/2013,98.74,101.47,98.29,100,4785.76602,478802.7633,100.0472571,
6/18/2013,100.39,108.18,99.99,104.5,10874.7433,1140452.089,104.8716331,
6/19/2013,104.49,107.5,102,105.24,5483.535733,577287.6743,105.276541,
6/20/2013,105.24,108,102.47,102.61,9088.525476,962034.2019,105.8515162,
6/21/2013,103,104.86,90,101.8,12331.663,1230642.176,99.79531359,
6/24/2013,100.4,102.3,95,99.47,9702.68839,955431.2195,98.47077233,
6/25/2013,98.83,101,97.47,97.87,5294.051796,526380.4658,99.42865807,
6/26/2013,97.57,99.98,96.13,98.77,4940.407779,485879.3806,98.34803164,
6/27/2013,98.75,98.76,96,96.31,4937.416754,482170.1185,97.65635402,
6/28/2013,96.98,97.45,88.01,89.96,18557.529,1703663.189,91.80442014,
7/1/2013,89.41,90.16,80.94,84.5,20854.46869,1784030.164,85.54666101,
7/2/2013,83.41,88.5,81.9,88,12666.39149,1091461.181,86.16985999,
7/3/2013,88.04,89.56,75.11,77.01,20740.88553,1710179.169,82.45449151,
7/4/2013,77.33,83.9,70.06,79.4,21957.43214,1691620.957,77.04092838,
7/5/2013,79.4,79.4,63.26,66.93,32935.36593,2322214.828,70.50824433,
7/8/2013,73.97,76.94,70.1,74.4,18669.578,1384339.335,74.14947113,
7/9/2013,74,76.01,70.25,75.01,15908.99991,1169344.195,73.50205555,
7/10/2013,75,86.64,74.81,86.19,27275.18413,2179299.919,79.90046587,
7/11/2013,86.13,89.96,83.85,87.13,17311.05698,1492886.498,86.2388992,
7/12/2013,87.81,100,86.6,90.17,32060.82985,2989656.861,93.24951582,
7/15/2013,90.02,95,88.11,93.78,13030.66102,1214281.366,93.18647493,
7/16/2013,93.76,93.9,89.09,91.55,9285.47355,855968.4718,92.18360994,
7/17/2013,91.61,92.37,89,90.97,7404.866459,673002.4656,90.88650948,
7/18/2013,90.96,91,77,85.28,21446.66607,1768889.17,82.47851507,
7/19/2013,85,88,83.21,86.51,8689.960752,738754.7621,85.01243943,
7/22/2013,85.73,87.08,83,85.6,8294.018168,714113.8329,86.0998636,
7/23/2013,85.59,88.88,82,86.98,13038.50131,1117223.676,85.68651025,
7/24/2013,86.88,88.48,85.73,88.42,9276.421101,811057.7225,87.43218033,
7/25/2013,88.42,90.66,87.08,90.16,10416.8801,930982.6348,89.37250176,
7/26/2013,90.1,91.77,88.56,89.95,6500.584404,587206.3837,90.33132211,
7/29/2013,92.72,93.5,90.54,93.39,10250.8406,950239.3507,92.69867592,
7/30/2013,93.45,97,92.7,96.57,11695.36757,1104665.032,94.45321196,
7/31/2013,96.98,101,95,98.28,17025.38437,1678360.438,98.57988528,
8/1/2013,97.77,98.44,95.15,96.62,7832.160505,760732.0664,97.12927435,
8/2/2013,96.63,98.71,93.03,95.85,15553.07297,1501708.346,96.55380315,
8/5/2013,96.38,98.92,96,97.81,11003.41353,1073769.099,97.58508988,
8/6/2013,97.88,98.98,97.07,97.69,9248.612095,908586.6182,98.24032069,
8/7/2013,97.7,98.32,95.5,97.09,7127.855552,693217.23,97.25466867,
8/8/2013,97.09,97.14,91.11,94.27,14017.03266,1325286.09,94.54826297,
8/9/2013,94.26,95.75,90,92.27,12311.24303,1143557.301,92.88723312,
8/12/2013,94,96.18,93.31,95.35,7203.733652,679474.9931,94.32261462,
8/13/2013,95.37,98.19,94.24,98.15,12840.28504,1239041.471,96.4964148,
8/14/2013,97.75,101,97.03,99.19,17997.71862,1783880.826,99.11705273,
8/15/2013,99.19,100.01,96.68,98.08,9533.32415,940033.7234,98.605031,
